Animal,Time(s),Distance(unit of box side),Speed(unit/s),x,y,Error,Total Error
rat,2.0,0.16,0.13744,271.0,526.0,0.0075,0.0075
rat,4.0,0.21,0.21667,268.0,519.0,0.0134,0.0209
rat,6.0,0.69,0.18409,522.0,560.0,0.0053,0.0262
rat,8.0,0.98,0.10000,692.0,555.0,0.0033,0.0295
rat,10.0,1.18,0.15366,745.0,478.0,0.0085,0.0380
rat,12.0,1.80,0.18634,755.0,122.0,0.0094,0.0474
rat,14.0,1.86,0.11785,757.0,93.0,0.0090,0.0564
rat,16.0,2.30,0.10000,510.0,53.0,0.0033,0.0597
rat,18.0,2.66,0.04714,304.0,56.0,0.0269,0.0866
rat,20.0,2.66,0.04714,304.0,56.0,0.0143,0.1009
rat,22.0,2.90,0.09718,259.0,136.0,0.0248,0.1257
rat,24.0,3.52,0.16750,255.0,419.0,0.0118,0.1375
rat,26.0,3.60,0.04714,254.0,467.0,0.0024,0.1399
rat,28.0,3.99,0.33375,403.0,563.0,0.0142,0.1541
rat,30.0,4.50,0.22236,702.0,555.0,0.0105,0.1646
rat,32.0,4.72,0.10138,726.0,531.0,0.0167,0.1813
rat,34.0,5.09,0.13017,736.0,380.0,0.0233,0.2046
rat,36.0,5.50,0.16667,752.0,206.0,0.0060,0.2107
rat,38.0,5.73,0.03727,749.0,115.0,0.0400,0.2507
rat,40.0,5.84,0.16499,720.0,75.0,0.0154,0.2661
rat,42.0,6.28,0.14907,505.0,58.0,0.0251,0.2911
rat,44.0,6.76,0.33706,272.0,51.0,0.0526,0.3437
rat,46.0,7.02,0.06667,254.0,167.0,0.0083,0.3521
rat,48.0,7.59,0.02357,252.0,508.0,0.0037,0.3558
rat,50.0,7.92,0.05000,340.0,535.0,0.0165,0.3723
rat,52.0,8.13,0.17717,425.0,537.0,0.0261,0.3984
rat,54.0,8.35,0.01667,472.0,503.0,0.0300,0.4284
rat,56.0,8.58,0.66416,576.0,535.0,0.0053,0.4336
rat,58.0,8.91,0.08333,708.0,553.0,0.0090,0.4426
rat,60.0,9.03,0.01667,714.0,512.0,0.0186,0.4613
rat,62.0,9.45,0.04714,756.0,322.0,0.0069,0.4681
rat,64.0,9.92,0.20276,750.0,108.0,0.0083,0.4765
rat,66.0,10.04,0.13437,752.0,83.0,0.0227,0.4991
rat,68.0,10.20,0.10138,706.0,89.0,0.0174,0.5165
rat,70.0,10.54,0.42850,590.0,116.0,0.0222,0.5388
rat,72.0,11.16,0.24777,282.0,302.0,0.0097,0.5485
rat,74.0,11.55,0.10138,273.0,518.0,0.0167,0.5652
rat,76.0,11.85,0.18634,422.0,559.0,0.0239,0.5891
rat,78.0,12.36,0.16750,720.0,551.0,0.0105,0.5996
rat,80.0,12.63,0.11785,752.0,493.0,0.0465,0.6461
rat,82.0,12.77,0.60668,729.0,528.0,0.0151,0.6612
rat,84.0,12.91,0.06009,703.0,552.0,0.0037,0.6649
rat,86.0,13.53,0.20000,375.0,566.0,0.0127,0.6776
rat,88.0,13.76,0.03333,279.0,573.0,0.0142,0.6919
rat,90.0,14.07,0.21731,289.0,479.0,0.0239,0.7157
rat,92.0,14.21,0.20069,273.0,474.0,0.0180,0.7338
rat,94.0,14.57,0.30641,267.0,308.0,0.0201,0.7538
rat,96.0,14.71,0.15811,255.0,275.0,0.0083,0.7622
rat,98.0,15.08,0.11785,291.0,83.0,0.0219,0.7841
rat,100.0,15.14,0.10541,304.0,69.0,0.0316,0.8157
rat,102.0,15.48,0.10138,468.0,47.0,0.0269,0.8426
rat,104.0,15.64,0.23863,541.0,58.0,0.0150,0.8576
rat,106.0,16.01,0.06872,719.0,85.0,0.0283,0.8859
rat,108.0,16.26,0.18333,760.0,193.0,0.0134,0.8993
rat,110.0,16.81,0.07071,756.0,514.0,0.0075,0.9068
rat,112.0,17.00,0.06667,719.0,556.0,0.0120,0.9188
rat,114.0,17.00,0.06667,719.0,556.0,0.0105,0.9293
rat,116.0,17.00,0.06667,719.0,556.0,0.0090,0.9383
rat,118.0,17.00,0.06667,719.0,556.0,0.0090,0.9473
rat,120.0,17.00,0.06667,719.0,556.0,0.0090,0.9563
